rank	word	count
1028	otišli	24648
1029	hranu	24594
1030	glavni	24563
1031	па	24563
1032	trebaju	24551
1033	odemo	24521
1034	vraćam	24520
1035	био	24385
1036	potreban	24353
1037	bogu	24321
1038	nađemo	24315
1039	tipa	24251
1040	čekam	24230
1041	obećavam	24229
1042	šteta	24211
1043	čekajte	24020
1044	radili	24005
1045	ajde	23911
1046	veliku	23874
1047	kojim	23863
1048	kralj	23820
1049	tvoji	23801
1050	pogrešno	23799
1051	kaži	23762
1052	stara	23751
1053	kojima	23704
1054	gđice	23694
1055	osećaj	23661
1056	реду	23543
1057	glas	23512
1058	napad	23468
1059	pričao	23462
1060	sačekaj	23410
1061	drugim	23324
1062	zatvoru	23306
1063	pokušaj	23304
1064	dom	23303
1065	sem	23269
1066	novu	23268
1067	zauvek	23262
1068	nekom	23239
1069	završio	23235
1070	vole	23213
1071	desi	23201
1072	usta	23180
1073	zatvor	23171
1074	priče	23129
1075	razgovaramo	23121
1076	smisla	23116
1077	pismo	23109
1078	dece	23093
1079	ideju	23084
1080	lično	23026
1081	sliku	23011
1082	umrla	22956
1083	znak	22814
1084	soba	22776
1085	razgovor	22771
1086	pričamo	22764
1087	onih	22757
1088	čovječe	22756
1089	mesec	22743
1090	smeta	22711
1091	seks	22703
1092	greška	22677
1093	нисам	22662
1094	pas	22639
1095	osećaš	22549
1096	trebamo	22447
1097	veruj	22442
1098	mislili	22439
1099	prokletstvo	22421
1100	kakvo	22397
1101	zemlja	22363
1102	poklon	22347
1104	rođendan	22292
1105	glave	22275
1106	nemate	22264
1107	um	22261
1108	vratimo	22210
1109	šef	22208
1110	šefe	22208
1111	svuda	22206
1112	dam	22192
1113	počinje	22170
1114	uredu	22165
1115	onoga	22165
1116	porodice	22156
1117	izvoli	22141
1118	rukama	22123
1119	зашто	22087
1120	imena	22079
1121	točno	22078
1122	drugih	22046
1123	gledaš	22026
1124	jedne	21997
1125	upoznao	21948
1126	rad	21941
1127	the	21936
1128	natrag	21916
1129	kupio	21856
1130	džek	21809
1131	leđa	21775
1132	jos	21761
1134	dio	21677
1135	čast	21659
1137	d	21576
1138	razgovaram	21556
1140	ostaviti	21510
1141	kladim	21464
1142	nesto	21412
1143	kog	21404
1144	takve	21395
1145	zasto	21383
1146	iznad	21307
1147	prevod	21297
1148	onu	21250
1149	slika	21241
1150	uspeo	21232
1151	svaka	21195
1152	било	21190
1153	nestao	21153
1154	zovi	21143
1155	išao	21126
1156	pogled	21109
1157	stigli	21055
1158	vide	21043
1159	novo	21038
1160	muškarac	21031
1161	lep	21008
1162	pažnju	20983
1163	ujutro	20943
1164	dođite	20917
1165	izbora	20882
1166	dokaz	20846
1167	naši	20845
1168	knjigu	20834
1169	kapetan	20820
1170	njegovog	20815
1171	trenutku	20811
1172	stranu	20806
1173	nedostaje	20774
1174	škole	20763
1175	veliko	20749
1176	zvala	20746
1177	muža	20734
1178	mozak	20697
1179	minut	20645
1180	poslednje	20634
1181	policajac	20600
1182	vratila	20540
1184	uslugu	20528
1185	dobijem	20512
1186	beba	20505
1187	izvolite	20493
1188	uđi	20487
1189	ovuda	20446
1190	okolo	20437
1191	svake	20435
1192	daje	20399
1193	umreti	20392
1194	још	20388
1195	nekada	20375
1196	luda	20355
1197	pivo	20306
1198	izbor	20284
1199	glavi	20261
1200	zatim	20242
1201	gledao	20193
1202	zovu	20188
1203	sav	20154
1204	beži	20137
1205	tražiš	20133
1206	srca	20092
1207	učini	20080
1208	pomogne	20067
1209	бити	20026
1210	stalo	20025
1211	takva	20018
1212	gubi	19976
1213	нешто	19970
1214	где	19969
1215	slobodno	19933
1216	glupo	19924
1217	našim	19908
1219	ubili	19890
1220	izgubili	19860
1221	radije	19851
1222	ključ	19835
1223	moć	19828
1224	govorio	19820
1225	najviše	19788
1227	budete	19780
1228	sistem	19768
1229	gospođice	19766
1230	deda	19713
1231	zadnji	19710
1232	čestitam	19693
1233	ubila	19688
1234	nedelju	19680
1235	вас	19678
1236	loša	19656
1237	nemaju	19636
1238	javi	19630
1239	bravo	19621
1240	recimo	19597
1241	njegovom	19589
1242	budite	19578
1243	božić	19566
1244	vratiš	19547
1245	који	19540
1246	pričaj	19539
1247	užasno	19535
1248	stanju	19477
1249	srećna	19476
1250	ulazi	19429
1251	pokušava	19426
1252	jebote	19410
1253	avion	19377
1254	hteli	19366
1255	dupe	19353
1256	definitivno	19290
1257	sledeće	19276
1258	dvojica	19272
1259	njihove	19270
1260	tela	19260
1261	ubijen	19227
1262	ujutru	19221
1263	najbolja	19170
1264	vašem	19156
1265	svojih	19153
1266	ubistva	19139
1268	sekundi	19127
1269	završi	19101
1270	pomislio	19091
1271	probleme	19084
1272	apsolutno	19074
1273	zakon	19010
