lat	cyr	pos	ekav	gloss
mineral	mineral	noun		минерал
mineralna voda	минерална вода	phrase		минеральная вода
mineralogija	минералогија	noun		минералогия
minijatura	минијатура	noun		искусств. миниатюра
minimalan	минималан	adj		минимальный; наименьший
minimalan	minimalan	adj		минимальный; наименьший
minimalnost	минималност	noun		минимальность
ministarstvo	министарство	noun		министерство
Minjović	Мињовић	noun		сербская фамилия
minobacač	минобацач	noun		воен. миномёт
Minović	Миновић	noun		сербская фамилия
minut	минут	noun		минута
minuta	минута	noun		минута (аналогично русскому слову)
Minčić	Минчић	noun		сербская фамилия
minđuša	минђуша	noun		серьга, серёжка
miocen	миоцен	noun		геол. миоцен (аналогично русскому слову)
Miodragović	Миодраговић	noun		сербская фамилия
mioglobin	миоглобин	noun		биохим. миоглобин
Mioković	Миоковић	noun		сербская фамилия
miologija	миологија	noun		научн. миология
miotonija	миотонија	noun		мед. миотония
miotoničan	миотоничан	adj		мед. миотонический
Miočinović	Миочиновић	noun		сербская фамилия
mir	мир	noun		мир (отсутствие войны)
mir	mir	noun		мир I
miraz	мираз	noun		приданое
miraž	мираж	noun		физ. мираж (аналогично русскому слову)
Miražić	Миражић	noun		сербская фамилия
Mirilo	Мирило	noun		сербская фамилия
Mirilov	Мирилов	noun		сербская фамилия
Mirilović	Мириловић	noun		сербская фамилия
mirisati	мирисати	verb		нюхать
Mirić	Мирић	noun		сербская фамилия
Mirjanić	Мирјанић	noun		сербская фамилия
Mirko	Мирко	noun		Мирко
Mirko	Mirko	noun		Мирко (мужское имя)
Mirkov	Мирков	noun		сербская фамилия
Mirković	Мирковић	noun		сербская фамилия
Mirosavić	Миросавић	noun		сербская фамилия
Mirosavljev	Миросављев	noun		сербская фамилия
Mirosavljević	Миросављевић	noun		сербская фамилия
Mirović	Мировић	noun		сербская фамилия
mirovni	mirovni	adj		миротворческий (о силах); мирный (о переговорах)
mirovni	мировни	adj		миротворческий (о силах); мирный (о переговорах)
mirođija	мирођија	noun		ботан. укроп (Anethum)
mirta	мирта	noun		ботан. мирт (Myrtus)
Mirčetić	Мирчетић	noun		сербская фамилия
Mirčetović	Мирчетовић	noun		сербская фамилия
Mirčić	Мирчић	noun		сербская фамилия
misija	misija	noun		миссия
misija	мисија	noun		миссия
misionar	мисионар	noun		миссионер
Misita	Мисита	noun		сербская фамилия
misticizam	мистицизам	noun		филос. мистицизм
mistik	мистик	noun		книжн. мистик
mistika	мистика	noun		мистика
mistično	мистично	adv		мистически
mistral	мистрал	noun		мистраль
Mitanović	Митановић	noun		сербская фамилия
Mitić	Митић	noun		сербская фамилия
Mitkov	Митков	noun		сербская фамилия
Mitković	Митковић	noun		сербская фамилия
mito	мито	noun		взятка
mitohondrija	митохондрија	noun		цитол. митохондрия
mitološki	митолошки	adj		мифологический
Mitović	Митовић	noun		сербская фамилия
Mitošević	Митошевић	noun		сербская фамилия
mitraizam	митраизам	noun		религ. митраизм
Mitraković	Митраковић	noun		сербская фамилия
mitraljez	митраљез	noun		воен. пулемёт
Mitranić	Митранић	noun		сербская фамилия
Mitrašević	Митрашевић	noun		сербская фамилия
Mitrašinović	Митрашиновић	noun		сербская фамилия
Mitrinović	Митриновић	noun		сербская фамилия
Mitrić	Митрић	noun		сербская фамилия
Mitričević	Митричевић	noun		сербская фамилия
Mitrović	Митровић	noun		сербская фамилия
Mitrušić	Митрушић	noun		сербская фамилия
mitski	митски	adj		мифический
mizandrija	мизандрија	noun		мизандрия, мужененавистничество
mizantrop	мизантроп	noun		мизантроп
mizantropski	мизантропски	adj		мизантропический
Mizdrak	Миздрак	noun		сербская фамилия
Mićalović	Мићаловић	noun		сербская фамилия
Mićanović	Мићановић	noun		сербская фамилия
Mićević	Мићевић	noun		сербская фамилия
Mićić	Мићић	noun		сербская фамилия
Mićković	Мићковић	noun		сербская фамилия
Mićović	Мићовић	noun		сербская фамилия
Mićunović	Мићуновић	noun		сербская фамилия
Mičeta	Мичета	noun		сербская фамилия
Mičigen	Мичиген	noun		Мичиган
miš	miš	noun		мышь
miš	миш	noun		мышь
Mišanović	Мишановић	noun		сербская фамилия
Mišeljić	Мишељић	noun		сербская фамилия
Mišević	Мишевић	noun		сербская фамилия
Mišić	Мишић	noun		сербская фамилия
mišić	мишић	noun		анат. мускул; мышца
mišićni	мишићни	adj		анат. мышечный; мускульный
Miškić	Мишкић	noun		сербская фамилия
Miškov	Мишков	noun		сербская фамилия
Mišković	Мишковић	noun		сербская фамилия
Mišljenović	Мишљеновић	noun		сербская фамилия
Mišljenčević	Мишљенчевић	noun		сербская фамилия
Mišović	Мишовић	noun		сербская фамилия
Miščević	Мишчевић	noun		сербская фамилия
mjaukanje	мјаукање	noun		мяукание
mjaukati	мјаукати	verb		мяукать
mjesto	мјесто	noun		место
mjesto	mjesto	noun		место
mlad	млад	adj		молодой
Mladenović	Младеновић	noun		сербская фамилия
Mladić	Младић	noun		сербская фамилия
mladić	младић	noun		юноша, парень
mladićstvo	младићство	noun		подросток, тинейджер
mladost	младост	noun		юность, молодость
mladoženja	младожења	noun		жених
Mlađenović	Млађеновић	noun		сербская фамилия
mlekarica	млекарица	noun		доярка
mleko	mleko	noun	ekav	молоко
mlezivo	млезиво	noun		молозиво
mlečan	млечан	adj		молочный
mlečika	млечика	noun		ботан. молочай (Euphorbia)
mlečna kiselina	млечна киселина	phrase		хим. молочная кислота
mliječna žlijezda	млијечна жлијезда	phrase		анат. молочная железа
Mlinarević	Млинаревић	noun		сербская фамилия
mljackati	мљацкати	verb		чавкать
mnogoboštvo	многобоштво	noun		многобожие
mnogomuštvo	многомуштво	noun		полиандрия, многомужество
mnogougao	многоугао	noun		геометр. многоугольник
mnogoženstvo	многоженство	noun		многожёнство, полигиния
mobilni uređaj	мобилни уређај	phrase		мобильное устройство
Moconja	Моцоња	noun		сербская фамилия
moda	мода	noun		мода [1]
modalnost	модалност	noun		лингв. модальность
modar	модар	adj		синий
model	модел	noun		модель
modelarstvo	моделарство	noun		моделизм; моделирование
moderan	модеран	adj		модный
modernizacija	модернизација	noun		модернизация
modul	модул	noun		модуль
modularan	модуларан	adj		модульный
Mogadiš	Могадиш	noun		геогр. Могадишо
moguć	moguć	adj		возможный; мощный, могучий
moguć	могућ	adj		возможный; мощный, могучий
mogućnost	mogućnost	noun		возможность
mogućnost	могућност	noun		возможность
moher	мохер	noun		мохер
Mohikanac	Мохиканац	noun		могиканин
moj	мој	pron		мой
Mojević	Мојевић	noun		сербская фамилия
Mojićević	Мојићевић	noun		сербская фамилия
Mojović	Мојовић	noun		сербская фамилия
Mojsilović	Мојсиловић	noun		сербская фамилия
Mojsić	Мојсић	noun		сербская фамилия
Mokrić	Мокрић	noun		сербская фамилия
mol	мол	noun		муз. минор
Moldavac	Молдавац	noun		молдаванин
Moldavka	Молдавка	noun		молдаванка
moldavski	молдавски	adj		молдавский, молдовский
Moldovan	Молдован	noun		сербская фамилия
Moldovanović	Молдовановић	noun		сербская фамилия
molekul	молекул	noun		хим. молекула
molekularna genetika	молекуларна генетика	phrase		молекулярная генетика
Molerović	Молеровић	noun		сербская фамилия
molibden	молибден	noun		хим. молибден
moliti	молити	verb		просить, умолять
molitva	молитва	noun		молитва (аналогично русскому слову)
Moljac	Мољац	noun		сербская фамилия
moljac	мољац	noun		моль
Moljević	Мољевић	noun		сербская фамилия
Moljković	Мољковић	noun		сербская фамилия
moloh	молох	noun		зоол. молох (Moloch horridus)
Molović	Моловић	noun		сербская фамилия
Momirov	Момиров	noun		сербская фамилия
Momirović	Момировић	noun		сербская фамилия
Momčilov	Момчилов	noun		сербская фамилия
Momčilović	Момчиловић	noun		сербская фамилия
monah	монах	noun		монах (аналогично русскому слову)
Monako	Монако	noun		Монако
monarh	монарх	noun		монарх (единовластный правитель)
monarhija	монархија	noun		полит. монархия
monarhizam	монархизам	noun		полит. монархизм
monaški	monaški	adj		религ. монашеский
moneta	монета	noun		монета (аналог русск. слову)
monetarizam	монетаризам	noun		экон. монетаризм
Mongolija	Монголија	noun		Монголия
mongolski	монголски	adj		монгольский
monitor	монитор	noun		монитор (аналогично русскому слову)
monizam	монизам	noun		филос. монизм
monogram	монограм	noun		монограмма
monohromatski	монохроматски	adj		физ. монохроматический
monoid	моноид	noun		матем. моноид, полугруппа
monolit	монолит	noun		монолит
monosaharid	моносахарид	noun		хим. моносахарид
monoteizam	монотеизам	noun		монотеизм
monsun	монсун	noun		метеорол. муссон
Moravac	Моравац	noun		сербская фамилия
Moravčević	Моравчевић	noun		сербская фамилия
Morača	Морача	noun		сербская фамилия
Moračić	Морачић	noun		сербская фамилия
morbili	морбили	noun		мед. корь
more	море	noun		море (аналогично русскому слову)
more	more	noun		геогр. море
morena	морена	noun		геол. морена
moreuz	мореуз	noun		геогр. пролив
morfema	морфема	noun		лингв. морфема
morfinizam	морфинизам	noun		мед. морфинизм
