lat	cyr	pos	ekav	gloss
bakara				баккара
bakelit				бакелит
baklava				баклава
baknang				бакнанг
bakterija				бактерия
bakteriofag				бактериофаг
bakteriolog				бактериолог
bakteriologija				бактериология
bakterioskopija				бактериоскопия
baku				баку
bal				бал
balakovo				балаково
balalajka				балалайка
balancirati				балансировать
balansirati				балансировать
balavac				ёршик
balašiha				балашиха
baldahin				балдахин
balerina				балерина
balet				балет
balistika				баллистика
balistički				баллистический
balkanac				балканец
balkanizacija				балканизация
balneologija				бальнеология
balsamovanje				бальзамирование
baltički				балтийский
balzamiranje				бальзамирование
balčak				эфес
bambus				бамбук
bamija				бамия
banana				банан
bandar				окунь
bandung				бандунг
bandura				бандура
bangladeš				бангладеш
banka				банк
bankar				банкир
banknota				банкнота
baptisterijum				баптистерий
baptizam				баптизм
bara				болото
baranovski				барановский
barbados				барбадос
barbakan				барбакан
barel				баррель
bareljef				барельеф
barij				барий
barijatrija				бариатрия
barijatrijski				бариатрический
barikada				баррикада
bariton				баритон
barium				барий
barkentina				баркентина
barmen				бармен
barnaul				барнаул
barograf				барограф
barok				барокко
barokni				барокко
barokomora				барокамера
barometar				барометр
baronat				баронство
baronija				баронство
barselona				барселона
barter				бартер
barut				порох
bas				бас
basnopisac				баснописец
bastion				бастион
batajsk				батайск
bataljon				батальон
batinanje				рукоприкладство
batiskaf				батискаф
bavarska				бавария
bazalt				базальт
bazanit				базанит
bazilika				базилика
baškortostanski				башкортостанский
bašta				огород, сад
baštovan				садовник
beba				младенец
beblingen				бёблинген
bedan				бедный
bedro				бедро
beduin				бедуин
bejzbolka				бейсболка
bekdor				бэкдор
beležiti				записывать
belgija				бельгия
belgijski				бельгийский
belgorod				белгород
belize				белиз
beloruskinja				белоруска
beneficijent				выгодоприобретатель
beninac				бенинец
benzilamin				бензиламин
benzilpenicilin				бензилпенициллин
beo				белый
beograd				белград
beograđanin				белградец
beograđanka				белградка
beovica				уклейка
berber				бербер
berezniki				березники
beriberi				бери-бери
beril				берилл
berilijum				бериллий
berkelij				берклий
berkelijum				берклий
berlin				берлин
bes				гнев
besadržajno				бессодержательно
besanica				бессонница
besarabija				бессарабия
beskompromisan				неуступчивый
beskompromisnost				бескомпромиссность
beskonačnost				бесконечность
beskoristan				безвыгодный, бесполезный
beskrajnost				безграничность
besmislen				абсурдный, неразумный
besmislenost				глупость
besmislica				абракадабра, абсурд, бессмыслица
besmrtan				бессмертный
besmrtnost				бессмертие
besneti				бушевать
besplatan				бесплатный
besplodan				бесплодный
besplodnost				бесплодие
besposlenost				безработица
bespravlje				беззаконие
bespredmetan				беспредметный
bespremetan				беспредметный
besprijekoran				безукоризненный, безупречный
besraman				беззастенчивый
besramlje				бессовестность
besramnost				бессовестность
bestidan				беззастенчивый
bestijalan				звероподобный
bestjelesan				бестелесный
bestrašnost				бесстрашие
besvestan				бессознательный
besvijest				бесчувствие
beta				бета
beta-zračenje				бета-излучение
beta-čestica				бета-частица
betatron				бетатрон
betelgez				бетельгейзе
betlehem				вифлеем
beton				бетон
bez				без
bezakonje				беззаконие
bezalkoholan				безалкогольный
bezalternativan				безальтернативный
bezbolan				безболезненный
bezbožnost				неверие
bezdokazan				бездоказательный, голословный
bezdokazanost				бездоказательность
bezdokaznost				бездоказательность
bezdušan				бесчувственный
bezgrešnost				безгрешность
bezimen				анонимный
bezimenost				неизвестность
bezmetežnost				безмятежность
bezmoralan				безнравственный
beznačajan				незначительный
bezobrazan				бесцеремонный
bezobrazluk				бессовестность
bezobziran				бесцеремонный
bezosećajan				бесчувственный
bezukusan				безвкусный
bezuslovan				абсолютный
bezuslovno				абсолютно
bezuspješan				безрезультатный, безуспешный
bezuspješnost				безрезультатность
bezvlašće				беспредел
bezvodan				безводный
bezvučan				беззвучный
beč				вена
bešamel				бешамель
bešćutnost				бесчувствие
beživotnost				нежизненность
biatlon				биатлон
biatlonac				биатлонист
biblija				библия
biblijski				библейский
bibliofilski				библиофильский
bibliografija				библиография
biblioteka				библиотека
bibliotekar				библиотекарь
bibliotekarstvo				библиотековедение
biceps				бицепс
bicikl				велосипед
biciklista				велосипедист
biciklističke				велосипедки, велошорты
biciklistkinja				велосипедист
biftek				бифштекс
bigamija				бигамия
biheviorizam				бихевиоризм
bijeda				нищета
bijsk				бийск
bik				бык
bikarbonat				бикарбонат
bikini				бикини
bikonveksan				двояковыпуклый
bilbord				билборд
bilijar				бильярд
bilingvizam				билингвизм
bilion				триллион
biljka				растение
bilo				запястье
bimetalizam				биметаллизм
bimetaližam				биметаллизм
binom				бином
bioakustika				биоакустика
bioanaliza				биоанализ
bioekologija				биоэкология
bioenergoterapeut				биоэнерготерапевт
biofizika				биофизика
biogas				биогаз
biogeografija				биогеография
biogeohimija				биогеохимия
biografija				биография
biohemija				биохимия
biohemičar				биохимик
bioinformatika				биоинформатика
biolog				биолог
biologija				биология
biologizam				биологизм
biološki				биологический
bioluminiscencija				биолюминесценция
biom				биом
biomasa				биомасса
biomehanika				биомеханика
bionika				бионика
biopolimer				биополимер
biopsija				биопсия
bioritam				биоритм
biosfera				биосфера
biosinteza				биосинтез
birački				избирательный
birema				бирема
birobidžan				биробиджан
birokratizacija				бюрократизация
biseksualan				бисексуальный
biseksualnost				бисексуальность
biser				жемчуг
bistar				швыдкий
biti				быть, существовать, явиться
bitkoin				биткойн
bitumen				битум
bizmut				висмут
biće				существо
bjelorusija				беларусь
bjeloruskinja				белоруска
blagajnik				кассир
blagodaran				благодарный
blagodariti				благодарить
blagosostojanje				богатство
blagost				мягкость
blagostanje				благосостояние
blagostojanje				богатство
blagoveščensk				благовещенск
blanja				рубанок
blastocist				бластоциста
blatiti				хаять
blejanje				блеяние
blejati				блеять
blesavilo				бредятина
bliskost				близость
blizanac				близнец
blizina				соприкосновение
blizu				у
bljutav				безвкусный
blokada				блокада
blondinka				блондинка
bludilište				бордель
bluz				блюз
bluza				блузка
bobica				ягода
bobrujsk				бобруйск
boca				бутылка
bocvana				ботсвана
bodež				кинжал
bodibilding				бодибилдинг
bodrost				бодрость
bodunjavost				похмелье
bog				бог
bogat				богатый
bogatstvo				богатство
boginja				богиня
bogoizabran				богоизбранный
bogojavljenski				богоявленский
bogomoljka				богомол
bogoslov				теолог
bogoslovac				теолог
bogoslovkinja				теолог
bogoslovlje				богословие, теология
bogoslovski				богословский
boja				краска, цвет
bojkot				бойкот
bojler				водонагреватель
bokal				графин
bokalčić				кувшинчик
bokser				боксёр
boksit				боксит
bokvica				подорожник
bol				боль
bolest				болезнь, заболевание, недуг
bolestan				больной
bolivija				боливия
bolivijac				боливиец
bolje				лучше
boljševik				большевик
bolnica				больница
bolničar				санитар
bombarder				бомбардировщик
bombona				конфета
bonsai				бонсай
bor				сосна
borba				борьба
borelioza				боррелиоз
borid				борид
borovnica				черника
boršč				борщ
bosančica				босанчица
bosfor				босфор
bosiljak				базилик
bosna				босния
botaničar				ботаник
botulizam				ботулизм
bozon				бозон
boćanje				бочче
bočni				боковой
božur				пион
brabant				брабант
brada				борода, подбородок
bradat				бородатый
bradavica				сосок
brak				супружество
braniti				оборонять
brat				брат
bratoubica				братоубийца
bratoubojica				братоубийца
bratsk				братск
bratski				братский
brauzer				браузер
brava				замок
bravar				слесарь
brazil				бразилия
brazilija				бразилиа
brašno				мука
brbljati				пустословить
brbljivac				пустозвон
brdo				гора
bremen				бремен
bremenitost				беременность
breskva				персик
brest				брест
brevijar				требник
breza				берёза
brigantin				бригантина
brijati				брить
brijest				вяз
briket				брикет
briologija				бриология
brisati				вычёркивать
brisel				брюссель
brit				бритт
brjansk				брянск
brk				усы
brkovi				усы
brod				корабль
brodogradilište				судоверфь
brodogradnja				кораблестроение, судостроение
broj				номер, число
brojilac				числитель
brojiti				считать
brom				бром
bronhitis				бронхит
broš				брошь
bruh				грыжа
brujati				жужжать
brundati				бубнить
brunej				бруней
