order	lemma	pos	spoken	web	forms	sentences	gloss
924	suh	ADJ	612	1421	307	1	сухой
925	barka	NOUN	608	1104	20	0	лодка
926	konjanik	NOUN	606	1653	15	0	всадник, наездник
927	dijabetes	NOUN	603	8916	15	1	мед. диабет
928	patak	NOUN	601	1362	22	0	селезень
929	svetiljka	NOUN	600	2306	47	0	лампа
930	ljudstvo	NOUN	600	1910	15	0	человечество
931	gutati	VERB	591	3595	102	0	глотать
932	helijum	NOUN	591	797	7	0	хим. гелий
933	pepeljuga	NOUN	589	699	15	0	Золушка
934	hijena	NOUN	580	539	15	1	зоол. гиена (hyaena)
935	aranžman	NOUN	577	15597	15	0	предварительное соглашение, сговор
936	zastrašivanje	NOUN	574	2093	15	0	устрашение
937	klin	NOUN	572	1941	16	2	гвоздь
938	žulj	NOUN	570	1200	23	0	волдырь
939	srećković	NOUN	567	291	15	0	?
940	statistički	ADV	566	12141	64	0	статистический
941	vagati	VERB	566	6299	112	0	взвешивать
942	tropski	ADJ	566	3729	62	0	геогр. тропический
943	igračica	NOUN	565	5916	14	0	танцовщица
944	guja	NOUN	564	438	15	0	зоол. змея (serpens)
945	revolucionaran	ADJ	561	8893	191	0	революционный
946	galeb	NOUN	560	1755	23	0	орнитол. чайка
947	manipulisati	VERB	553	4609	102	0	манипулировать
948	guba	NOUN	551	3596	15	3	мед. лепра; проказа
949	dvogled	NOUN	550	1365	15	0	бинокль
950	histeričan	ADJ	548	1050	191	0	истеричный; истерический
951	vaga	NOUN	548	5808	17	0	весы; вес
952	čedo	NOUN	543	6263	15	0	ребёнок
953	korica	NOUN	542	1432	15	1	?
954	ozbiljnost	NOUN	541	5166	15	0	серьёзность; важность, значительность
955	rupica	NOUN	538	1475	15	0	петля (прорез в одежде для застёгивания)
956	tesla	NOUN	537	5151	17	0	?
957	skakavac	NOUN	537	984	14	0	зоол. кузнечик; саранча
958	zapošljavanje	NOUN	528	34958	15	0	трудоустройство, найм
959	usisivač	NOUN	527	1477	15	0	пылесос
960	alatka	NOUN	525	6585	16	0	инструмент
961	etički	ADJ	518	8402	62	0	этический
962	pobačaj	NOUN	513	1492	15	0	выкидыш
963	koincidencija	NOUN	512	677	15	0	совпадение
964	odsto	ADV	510	190534	1	0	процент
965	šutirati	VERB	509	5840	109	0	ударить/ударять (по мячу)
966	državljanin	NOUN	508	13790	15	0	гражданин
967	proliv	NOUN	507	2772	30	1	мед. диарея, понос
968	golo	ADV	504	667	3	0	?
969	ustanak	NOUN	502	10708	15	0	восстание
970	vodenjak	NOUN	501	284	15	0	зоол. тритон
971	posetnica	NOUN	501	48	30	0	визитная карточка, визитка
972	kovanica	NOUN	498	1488	15	0	монета
973	suzavac	NOUN	497	1544	14	0	слезоточивый газ
974	naušnica	NOUN	497	396	14	0	серьга
975	njuškalo	NOUN	492	78	15	0	разг. проныра, пролаза; шпион, шпик
976	državljanstvo	NOUN	482	9491	15	1	гражданство
977	finansiranje	NOUN	476	33171	15	0	фин. финансирование
978	spaljivanje	NOUN	473	2007	15	0	сжигание, сожжение
979	harmonika	NOUN	470	2288	15	0	аккордеон
980	tiganj	NOUN	468	2006	43	0	сковородка
981	gležanj	NOUN	467	349	22	0	анат. лодыжка, щиколотка
982	brodić	NOUN	466	1103	15	0	?
983	ljigav	ADJ	465	612	191	0	скользкий, покрытый слизью
984	plahta	NOUN	463	157	16	0	простыня
985	udaljavati	VERB	462	2791	102	0	удалять, отдалять
986	blagajnik	NOUN	461	930	15	0	кассир
987	talijanski	ADJ	461	1710	184	0	итальянский
988	dren	NOUN	458	551	16	0	ботан. кизил (Cornus)
